"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1967537172543881611","Mon Sep 15 11:00:08 +0000 2025","0","@xielrin Tumben gk ada roblox","1967543953265484259","","xielrin","in","","0","0","0","https://x.com/undefined/status/1967543953265484259","1456411426633912326",
"1967462350115541003","Mon Sep 15 11:00:05 +0000 2025","0","@roblox_fess biasa aja der mereka malah baik-baik yaa kalau dari pengalaman aku walaupun ga semuanya dan selagi bukan ava jelek (vulgar) sih aku bodoamatt kecuali tinggi tapi avanya vulgar langsung hokkcuhh","1967543942360236223","","roblox_fess","in","","0","0","0","https://x.com/undefined/status/1967543942360236223","1462759584209072131",
"1967465223893262413","Mon Sep 15 10:59:45 +0000 2025","0","@roblox_fess bisaaa kak inii aku dpet pake astral rod https://t.co/ZCHU6vIg0c","1967543858264526886","https://pbs.twimg.com/media/G04etSAbwAAIH7H.jpg","roblox_fess","in","","0","0","0","https://x.com/undefined/status/1967543858264526886","1272042065518407681",
"1967543831009894431","Mon Sep 15 10:59:39 +0000 2025","0","npsih prempuan (gue) memiliki mood yg sgt random. kn w jdi bingung syit ky mau main roblox aja rasanya","1967543831009894431","","","in","","0","0","0","https://x.com/undefined/status/1967543831009894431","1603678330678493185",
"1967538063912943790","Mon Sep 15 10:59:24 +0000 2025","0","@akumacany @roblox_fess UDH DONG AK KAN LUPA","1967543770129539125","","akumacany","in","","0","0","0","https://x.com/undefined/status/1967543770129539125","1923019303114481664",
"1967541268784845281","Mon Sep 15 10:59:16 +0000 2025","0","@roblox_fess ih gemes mau ikut dong","1967543737778847768","","roblox_fess","in","","0","1","0","https://x.com/undefined/status/1967543737778847768","1364770895961550850",
"1967541268784845281","Mon Sep 15 10:59:04 +0000 2025","0","@roblox_fess Aku mauuu","1967543685618548800","","roblox_fess","in","","0","1","0","https://x.com/undefined/status/1967543685618548800","845803401598271488",
"1967538190744502300","Mon Sep 15 10:59:04 +0000 2025","0","@roblox_fess ikut nder https://t.co/0S4unjXeBt","1967543684741877792","https://pbs.twimg.com/media/G04ef13aoAA6ts7.jpg","roblox_fess","in","","0","0","0","https://x.com/undefined/status/1967543684741877792","1054515489815154688",
"1967543641318293704","Mon Sep 15 10:58:53 +0000 2025","0","main roblox bikin lupa nonton drakor","1967543641318293704","","","in","","0","0","0","https://x.com/undefined/status/1967543641318293704","1809270845317214209",
"1967531345451610623","Mon Sep 15 10:58:40 +0000 2025","0","@simdereIIa @roblox_fess Walaupun bukan aksesoris bisa kah dicustom? -ns","1967543585328500949","","simdereIIa","in","","0","1","0","https://x.com/undefined/status/1967543585328500949","1825871708542402560",
